section,isGroup,group,itemCode,HSCode,itemLabel
Crops Primary,,1841,242,1202.10_a,"Groundnuts, with shell"
Crops Primary,,1841,249,0801.19_a,Coconuts
Crops Primary,,1841,254,1207.10ab,"Oil, palm fruit"
Crops Primary,,1841,256,1207.10aa,Palm kernels
Crops Primary,,1841,267,1206.00_a,Sunflower seed
Crops Primary,,1841,270,1205,Rapeseed
Crops Primary,,1841,280,1207.6,Safflower seed
Crops Primary,,1841,289,1207.40_a,Sesame seed
Crops Primary,,1841,292,1207.5,Mustard seed
Crops Primary,,1841,296,1207.9aa,Poppy seed
Crops Primary,,1841,299,1207.9ab,Melonseed
Crops Primary,,1841,310,1402_a,Kapok fruit
Crops Primary,,1841,328,1207.20_b,Seed cotton
Crops Primary,,1841,329,1207.20aa,Cottonseed
Crops Primary,,1841,333,1204.00_a,Linseed
Crops Primary,,1841,336,1207.9ag,Hempseed
Crops Primary,,1841,339,1207.9ak,Oilseeds nes
Crops Primary,,1732,236,1201.00_a,Soybeans
Crops Primary,,1732,242,1202.10_a,"Groundnuts, with shell"
Crops Primary,,1732,249,0801.19_a,Coconuts
Crops Primary,,1732,254,1207.10ab,"Oil, palm fruit"
Crops Primary,,1732,256,1207.10aa,Palm kernels
Crops Primary,,1732,257,1511_a,"Oil, palm"
Crops Primary,,1732,260,0709.90aa,Olives
Crops Primary,,1732,263,1207.9ah,Karite nuts (sheanuts)
Crops Primary,,1732,265,1207.30_a,Castor oil seed
Crops Primary,,1732,267,1206.00_a,Sunflower seed
Crops Primary,,1732,270,1205,Rapeseed
Crops Primary,,1732,275,1207.9ai,Tung nuts
Crops Primary,,1732,277,1207.9aj,Jojoba seed
Crops Primary,,1732,280,1207.6,Safflower seed
Crops Primary,,1732,289,1207.40_a,Sesame seed
Crops Primary,,1732,292,1207.5,Mustard seed
Crops Primary,,1732,296,1207.9aa,Poppy seed
Crops Primary,,1732,299,1207.9ab,Melonseed
Crops Primary,,1732,305,1207.9ad,Tallowtree seed
Crops Primary,,1732,310,1402_a,Kapok fruit
Crops Primary,,1732,328,1207.20_b,Seed cotton
Crops Primary,,1732,329,1207.20aa,Cottonseed
Crops Primary,,1732,333,1204.00_a,Linseed
Crops Primary,,1732,336,1207.9ag,Hempseed
Crops Primary,,1732,339,1207.9ak,Oilseeds nes
Crops Primary,,1726,176,0713.3_a,"Beans, dry"
Crops Primary,,1726,181,713.5,"Broad beans, horse beans, dry"
Crops Primary,,1726,187,713.1,"Peas, dry"
Crops Primary,,1726,191,713.2,Chick peas
Crops Primary,,1726,195,0713.3_b,"Cow peas, dry"
Crops Primary,,1726,197,0713.90aa,Pigeon peas
Crops Primary,,1726,201,713.4,Lentils
Crops Primary,,1726,203,0713.90ad,Bambara beans
Crops Primary,,1726,205,0713.90ac,Vetches
Crops Primary,,1726,210,0713.90ab,Lupins
Crops Primary,,1726,211,0713.90ae,"Pulses, nes"
Crops Primary,,1720,116,0701_a,Potatoes
Crops Primary,,1720,122,0714.20_a,Sweet potatoes
Crops Primary,,1720,125,0714.10_a,Cassava
Crops Primary,,1720,135,0714.90_ba,Yautia (cocoyam)
Crops Primary,,1720,136,0714.90_bb,Taro (cocoyam)
Crops Primary,,1720,137,0714.90_a,Yams
Crops Primary,,1720,149,0714.90_bc,"Roots and tubers, nes"
Crops Primary,,1729,216,801.21,"Brazil nuts, with shell"
Crops Primary,,1729,217,0801.31_a,"Cashew nuts, with shell"
Crops Primary,,1729,220,802.4,Chestnut
Crops Primary,,1729,221,0802.11_a,"Almonds, with shell"
Crops Primary,,1729,222,0802.31_a,"Walnuts, with shell"
Crops Primary,,1729,223,0802.50_a,Pistachios
Crops Primary,,1729,225,0802.21_a,"Hazelnuts, with shell"
Crops Primary,,1729,234,0802.90ac,"Nuts, nes"
Crops Primary,,1735,358,0704.90_a,Cabbages and other brassicas
Crops Primary,,1735,366,709.1,Artichokes
Crops Primary,,1735,367,709.2,Asparagus
Crops Primary,,1735,372,705,Lettuce and chicory
Crops Primary,,1735,373,709.7,Spinach
Crops Primary,,1735,378,0709.90cc,Cassava leaves
Crops Primary,,1735,388,0702.00_a,Tomatoes
Crops Primary,,1735,393,704.1,Cauliflowers and broccoli
Crops Primary,,1735,394,0709.90_b,"Pumpkins, squash and gourds"
Crops Primary,,1735,397,707,Cucumbers and gherkins
Crops Primary,,1735,399,709.3,Eggplants (aubergines)
Crops Primary,,1735,401,709.6,"Chillies and peppers, green"
Crops Primary,,1735,402,0703.10_a,"Onions, shallots, green"
Crops Primary,,1735,403,0703.10_b,"Onions, dry"
Crops Primary,,1735,406,703.2,Garlic
Crops Primary,,1735,407,703.9,"Leeks, other alliaceous vegetables"
Crops Primary,,1735,414,0708.20_a,"Beans, green"
Crops Primary,,1735,417,708.1,"Peas, green"
Crops Primary,,1735,420,0708.90_a,"Vegetables, leguminous nes"
Crops Primary,,1735,423,0708.20_b,String beans
Crops Primary,,1735,426,706.1,Carrots and turnips
Crops Primary,,1735,430,0709.90cb,Okra
Crops Primary,,1735,446,0709.90ca,"Maize, green"
Crops Primary,,1735,449,0709.5_a,Mushrooms and truffles
Crops Primary,,1735,463,0706.10_a,"Vegetables, fresh nes"
Crops Primary,,1735,567,807.11,Watermelons
Crops Primary,,1735,568,807.19,"Melons, other (inc.cantaloupes)"
Crops Processed,,,51,2203,Beer of barley
Crops Processed,,,767,5201.00aa,Cotton lint
Crops Processed,,,329,1207.20aa,Cottonseed
Crops Processed,,,1242,1517.1,"Margarine, short"
Crops Processed,,,165,1703_a,Molasses
Crops Processed,,,252,1513.1_a,"Oil, coconut (copra)"
Crops Processed,,,331,1512.2_a,"Oil, cottonseed"
Crops Processed,,,244,1508_a,"Oil, groundnut"
Crops Processed,,,334,1515.1_a,"Oil, linseed"
Crops Processed,,,60,1515.2_a,"Oil, maize"
Crops Processed,,,261,1509_a,"Oil, olive, virgin"
Crops Processed,,,257,1511_a,"Oil, palm"
Crops Processed,,,258,1513.2_a,"Oil, palm kernel"
Crops Processed,,,271,1514_a,"Oil, rapeseed"
Crops Processed,,,281,1512.1_b,"Oil, safflower"
Crops Processed,,,290,1515.5,"Oil, sesame"
Crops Processed,,,237,1507_a,"Oil, soybean"
Crops Processed,,,268,1512.1_a,"Oil, sunflower"
Crops Processed,,,256,1207.10aa,Palm kernels
Crops Processed,,,162,1701.9_b,Sugar Raw Centrifugal
Crops Processed,,,564,2204_a,Wine
Live Animals,,,1171,0106.90_f,Animals live nes
Live Animals,,,1107,0101.20_a,Asses
Live Animals,,,1181,0106.90_a,Beehives
Live Animals,,,946,0102_b,Buffaloes
Live Animals,,,1157,0106.90_d,"Camelids, other"
Live Animals,,,1126,0106.1_a,Camels
Live Animals,,,866,0102_a,Cattle
Live Animals,,,1057,0105_a,Chickens
Live Animals,,,1068,0105ca,Ducks
Live Animals,,,1072,0105cb,Geese and guinea fowls
Live Animals,,,1016,104.2,Goats
Live Animals,,,1096,0101_a,Horses
Live Animals,,,1110,0101.20_b,Mules
Live Animals,,,1083,0106.90_b,"Pigeons, other birds"
Live Animals,,,1034,103,Pigs
Live Animals,,,1140,0106.1_c,Rabbits and hares
Live Animals,,,1150,0106.90_c,"Rodents, other"
Live Animals,,,976,104.1,Sheep
Live Animals,,,1079,0105_b,Turkeys
Live Animals,TRUE,,1746,1746,Cattle and Buffaloes > (List)
Live Animals,TRUE,,1756,1756,Live Animals > (List)
Live Animals,TRUE,,2029,2029,Poultry Birds > (List)
Live Animals,TRUE,,1749,1749,Sheep and Goats > (List)
Live Animals,,1746,866,0102_a,Cattle
Live Animals,,1746,946,0102_b,Buffaloes
Live Animals,,1756,866,0102_a,Cattle
Live Animals,,1756,946,0102_b,Buffaloes
Live Animals,,1756,976,104.1,Sheep
Live Animals,,1756,1016,104.2,Goats
Live Animals,,1756,1034,103,Pigs
Live Animals,,1756,1057,0105_a,Chickens
Live Animals,,1756,1068,0105ca,Ducks
Live Animals,,1756,1072,0105cb,Geese and guinea fowls
Live Animals,,1756,1079,0105_b,Turkeys
Live Animals,,1756,1096,0101_a,Horses
Live Animals,,1756,1107,0101.20_a,Asses
Live Animals,,1756,1110,0101.20_b,Mules
Live Animals,,1756,1126,0106.1_a,Camels
Live Animals,,1756,1140,0106.1_c,Rabbits and hares
Live Animals,,1756,1150,0106.90_c,"Rodents, other"
Live Animals,,1756,1157,0106.90_d,"Camelids, other"
Live Animals,,1756,1171,0106.90_f,Animals live nes
Live Animals,,1756,1181,0106.90_a,Beehives
Live Animals,,2029,1052,,"Chickens, layers"
Live Animals,,2029,1053,,"Chickens, broilers"
Live Animals,,2029,1057,0105_a,Chickens
Live Animals,,2029,1068,0105ca,Ducks
Live Animals,,2029,1072,0105cb,Geese and guinea fowls
Live Animals,,2029,1079,0105_b,Turkeys
Live Animals,,2029,1083,0106.90_b,"Pigeons, other birds"
Live Animals,,1749,976,104.1,Sheep
Live Animals,,1749,1016,104.2,Goats
Livestock Primary,,,1183,1521.90_a,Beeswax
Livestock Primary,,,1062,0407.00a,"Eggs, hen, in shell"
Livestock Primary,,,1067,0407.00a,"Eggs, hen, in shell (number)"
Livestock Primary,,,1091,0407.00b,"Eggs, other bird, in shell"
Livestock Primary,,,1092,0407.00b,"Eggs, other bird, in shell (number)"
Livestock Primary,,,1100,503,"Hair, horse"
Livestock Primary,,,957,4101_m,"Hides, buffalo, fresh"
Livestock Primary,,,919,4101_l,"Hides, cattle, fresh"
Livestock Primary,,,1182,409,"Honey, natural"
Livestock Primary,,,1122,0205.00_ba,"Meat indigenous, ass"
Livestock Primary,,,1084,0208.90_ax,"Meat indigenous, bird nes"
Livestock Primary,,,972,0201.10_ba,"Meat indigenous, buffalo"
Livestock Primary,,,1137,0208.90_ay,"Meat indigenous, camel"
Livestock Primary,,,944,0201.10_aa,"Meat indigenous, cattle"
Livestock Primary,,,1094,0207.11_a,"Meat indigenous, chicken"
Livestock Primary,,,1070,0207.32_aa,"Meat indigenous, duck"
Livestock Primary,,,1077,0207.32_ba,"Meat indigenous, geese"
Livestock Primary,,,1032,0204.50_a,"Meat indigenous, goat"
Livestock Primary,,,1120,0205.00_aa,"Meat indigenous, horse"
Livestock Primary,,,1124,0205_ba,"Meat indigenous, mule"
Livestock Primary,,,1161,0208.90_ba,"Meat indigenous, other camelids"
Livestock Primary,,,1055,0203.11_a,"Meat indigenous, pig"
Livestock Primary,,,1144,0208.10_aa,"Meat indigenous, rabbit"
Livestock Primary,,,1154,0208.90_aa,"Meat indigenous, rodents"
Livestock Primary,,,1012,0204.21_aa,"Meat indigenous, sheep"
Livestock Primary,,,1087,0207.24_a,"Meat indigenous, turkey"
Livestock Primary,,,1108,0205_a,"Meat, ass"
Livestock Primary,,,1089,0208.90ac,"Meat, bird nes"
Livestock Primary,,,947,0201.10_b,"Meat, buffalo"
Livestock Primary,,,1127,0208.90aa,"Meat, camel"
Livestock Primary,,,867,0201.10_a,"Meat, cattle"
Livestock Primary,,,1058,0207.1_a,"Meat, chicken"
Livestock Primary,,,1069,0207.32_a,"Meat, duck"
Livestock Primary,,,1163,0208.90ab,"Meat, game"
Livestock Primary,,,1017,204.5,"Meat, goat"
Livestock Primary,,,1073,0207.32_b,"Meat, goose and guinea fowl"
Livestock Primary,,,1097,0205.00_a,"Meat, horse"
Livestock Primary,,,1111,0205_b,"Meat, mule"
Livestock Primary,,,1166,0208.90ad,"Meat, nes"
Livestock Primary,,,1158,0208.90_b,"Meat, other camelids"
Livestock Primary,,,1151,0208.90_a,"Meat, other rodents"
Livestock Primary,,,1035,0203_a,"Meat, pig"
Livestock Primary,,,1141,0208.10_a,"Meat, rabbit"
Livestock Primary,,,977,0204.21_a,"Meat, sheep"
Livestock Primary,,,1080,0207.2_a,"Meat, turkey"
Livestock Primary,,,951,0401.20_b,"Milk, whole fresh buffalo"
Livestock Primary,,,1130,0401.20_e,"Milk, whole fresh camel"
Livestock Primary,,,882,0401.20_a,"Milk, whole fresh cow"
Livestock Primary,,,1020,0401.20_d,"Milk, whole fresh goat"
Livestock Primary,,,982,0401.20_c,"Milk, whole fresh sheep"
Livestock Primary,,,1167,0206_g,"Offals, nes"
Livestock Primary,,,1083,0106.90_b,"Pigeons, other birds"
Livestock Primary,,,1185,5001.00_a,"Silk-worm cocoons, reelable"
Livestock Primary,,,1195,4301_a,"Skins, furs"
Livestock Primary,,,1025,4103.10_d,"Skins, goat, fresh"
Livestock Primary,,,995,4102.2_d,"Skins, sheep, fresh"
Livestock Primary,,,999,4102.1,"Skins, sheep, with wool"
Livestock Primary,,,1176,307.6,"Snails, not sea"
Livestock Primary,,,987,5101.1_a,"Wool, greasy"
Livestock Primary,TRUE,,1806,1806,Beef and Buffalo Meat > (List)
Livestock Primary,TRUE,,1783,1783,Eggs Primary > (List)
Livestock Primary,TRUE,,1808,1808,"Meat, Poultry > (List)"
Livestock Primary,TRUE,,1765,1765,"Meat, Total > (List)"
Livestock Primary,TRUE,,1780,1780,"Milk,Total > (List)"
Livestock Primary,TRUE,,1807,1807,Sheep and Goat Meat > (List)
Livestock Primary,,1806,867,0201.10_a,"Meat, cattle"
Livestock Primary,,1806,947,0201.10_b,"Meat, buffalo"
Livestock Primary,,1783,1062,0407.00a,"Eggs, hen, in shell"
Livestock Primary,,1783,1091,0407.00b,"Eggs, other bird, in shell"
Livestock Primary,,1808,1058,0207.1_a,"Meat, chicken"
Livestock Primary,,1808,1069,0207.32_a,"Meat, duck"
Livestock Primary,,1808,1073,0207.32_b,"Meat, goose and guinea fowl"
Livestock Primary,,1808,1080,0207.2_a,"Meat, turkey"
Livestock Primary,,1808,1089,0208.90ac,"Meat, bird nes"
Livestock Primary,,1765,867,0201.10_a,"Meat, cattle"
Livestock Primary,,1765,947,0201.10_b,"Meat, buffalo"
Livestock Primary,,1765,977,0204.21_a,"Meat, sheep"
Livestock Primary,,1765,1017,204.5,"Meat, goat"
Livestock Primary,,1765,1035,0203_a,"Meat, pig"
Livestock Primary,,1765,1058,0207.1_a,"Meat, chicken"
Livestock Primary,,1765,1069,0207.32_a,"Meat, duck"
Livestock Primary,,1765,1073,0207.32_b,"Meat, goose and guinea fowl"
Livestock Primary,,1765,1080,0207.2_a,"Meat, turkey"
Livestock Primary,,1765,1083,0106.90_b,"Pigeons, other birds"
Livestock Primary,,1765,1089,0208.90ac,"Meat, bird nes"
Livestock Primary,,1765,1097,0205.00_a,"Meat, horse"
Livestock Primary,,1765,1108,0205_a,"Meat, ass"
Livestock Primary,,1765,1111,0205_b,"Meat, mule"
Livestock Primary,,1765,1127,0208.90aa,"Meat, camel"
Livestock Primary,,1765,1141,0208.10_a,"Meat, rabbit"
Livestock Primary,,1765,1151,0208.90_a,"Meat, other rodents"
Livestock Primary,,1765,1158,0208.90_b,"Meat, other camelids"
Livestock Primary,,1765,1163,0208.90ab,"Meat, game"
Livestock Primary,,1765,1166,0208.90ad,"Meat, nes"
Livestock Primary,,1765,1176,307.6,"Snails, not sea"
Livestock Primary,,1780,882,0401.20_a,"Milk, whole fresh cow"
Livestock Primary,,1780,951,0401.20_b,"Milk, whole fresh buffalo"
Livestock Primary,,1780,982,0401.20_c,"Milk, whole fresh sheep"
Livestock Primary,,1780,1020,0401.20_d,"Milk, whole fresh goat"
Livestock Primary,,1780,1130,0401.20_e,"Milk, whole fresh camel"
Livestock Primary,,1807,977,0204.21_a,"Meat, sheep"
Livestock Primary,,1807,1017,204.5,"Meat, goat"
Livestock Processed,,,983,0405.10_c,"Butter and ghee, sheep milk"
Livestock Processed,,,1022,1022,Butter of goat mlk
Livestock Processed,,,952,0405.10_b,"Butter, buffalo milk"
Livestock Processed,,,886,0405.10_a,"Butter, cow milk"
Livestock Processed,,,1021,0406_d,Cheese of goat mlk
Livestock Processed,,,955,0406_b,"Cheese, buffalo milk"
Livestock Processed,,,984,0406_c,"Cheese, sheep milk"
Livestock Processed,,,904,0406ab,"Cheese, skimmed cow milk"
Livestock Processed,,,901,0406aa,"Cheese, whole cow milk"
Livestock Processed,,,885,0401.30_a,Cream fresh
Livestock Processed,,,887,0405.20_a,"Ghee, butteroil of cow milk"
Livestock Processed,,,953,0405.20_b,"Ghee, of buffalo milk"
Livestock Processed,,,1043,1501.00_a,Lard
Livestock Processed,,,899,0403.90_a,"Milk, dry buttermilk"
Livestock Processed,,,896,0402.99_b,"Milk, skimmed condensed"
Livestock Processed,,,888,0401.10_a,"Milk, skimmed cow"
Livestock Processed,,,898,0402.10_a,"Milk, skimmed dried"
Livestock Processed,,,895,0402.91_b,"Milk, skimmed evaporated"
Livestock Processed,,,889,0402.99_a,"Milk, whole condensed"
Livestock Processed,,,897,0402.2_a,"Milk, whole dried"
Livestock Processed,,,894,0402.91_a,"Milk, whole evaporated"
Livestock Processed,,,1186,5002,Silk raw
Livestock Processed,,,1225,1502.00_e,Tallow
Livestock Processed,,,890,0404.10_c,"Whey, condensed"
Livestock Processed,,,900,0404.10_b,"Whey, dry"
Livestock Processed,,,891,403.1,Yoghurt
Livestock Processed,TRUE,,1811,1811,Butter and Ghee > (List)
Livestock Processed,TRUE,,1745,1745,Cheese (All Kinds) > (List)
Livestock Processed,TRUE,,1816,1816,Evaporat&Condensed Milk > (List)
Livestock Processed,TRUE,,1809,1809,"Skim Milk&Buttermilk,Dry > (List)"
Livestock Processed,,1811,886,0405.10_a,"Butter, cow milk"
Livestock Processed,,1811,887,0405.20_a,"Ghee, butteroil of cow milk"
Livestock Processed,,1811,952,0405.10_b,"Butter, buffalo milk"
Livestock Processed,,1811,953,0405.20_b,"Ghee, of buffalo milk"
Livestock Processed,,1811,983,0405.10_c,"Butter and ghee, sheep milk"
Livestock Processed,,1811,1022,1022,Butter of goat mlk
Livestock Processed,,1745,901,0406aa,"Cheese, whole cow milk"
Livestock Processed,,1745,904,0406ab,"Cheese, skimmed cow milk"
Livestock Processed,,1745,905,0406ac,"Whey, cheese"
Livestock Processed,,1745,955,0406_b,"Cheese, buffalo milk"
Livestock Processed,,1745,984,0406_c,"Cheese, sheep milk"
Livestock Processed,,1745,1021,0406_d,Cheese of goat mlk
Livestock Processed,,1816,889,0402.99_a,"Milk, whole condensed"
Livestock Processed,,1816,890,0404.10_c,"Whey, condensed"
Livestock Processed,,1816,894,0402.91_a,"Milk, whole evaporated"
Livestock Processed,,1816,895,0402.91_b,"Milk, skimmed evaporated"
Livestock Processed,,1816,896,0402.99_b,"Milk, skimmed condensed"
Livestock Processed,,1809,898,0402.10_a,"Milk, skimmed dried"
Livestock Processed,,1809,899,0403.90_a,"Milk, dry buttermilk"
Forestry,,,1663,1663,Bleached Sulphate Pulp
Forestry,,,1661,1661,Bleached Sulphite Pulp
Forestry,,,1617,1617,Case Materials
Forestry,,,1656,1656,Chemical Wood Pulp
Forestry,,,1619,1619,Chips and Particles
Forestry,,,1616,1616,Coated Papers
Forestry,,,1667,1667,Dissolving Wood Pulp
Forestry,,,1649,1649,"Fibreboard, Compressed"
Forestry,,,1618,1618,Folding Boxboard
Forestry,,,1647,1647,Hardboard
Forestry,,,1676,1676,Household+Sanitary Paper
Forestry,,,1651,1651,Ind Rwd Wir (C)
Forestry,,,1670,1670,Ind Rwd Wir (NC) Other
Forestry,,,1657,1657,Ind Rwd Wir (NC) Tropica
Forestry,,,1650,1650,Insulating Board
Forestry,,,1648,1648,MDF
Forestry,,,1654,1654,Mechanical Wood Pulp
Forestry,,,1671,1671,Newsprint
Forestry,,,1668,1668,Other Fibre Pulp
Forestry,,,1625,1625,Other Indust Roundwd Trd
Forestry,,,1623,1623,Other Indust Roundwd(C)
Forestry,,,1626,1626,Other Indust Roundwd(NC)
Forestry,,,1675,1675,Other Paper+Paperboard
Forestry,,,1622,1622,Other Papers Packaging
Forestry,,,1683,1683,Paper+Paperboard NES
Forestry,,,1646,1646,Particle Board
Forestry,,,1640,1640,Plywood
Forestry,,,1674,1674,Printing+Writing Paper
Forestry,,,1614,1614,"Pulpwood,Round&Split Trd"
Forestry,,,1602,1602,"Pulpwood,Round&Split(C)"
Forestry,,,1603,1603,"Pulpwood,Round&Split(NC)"
Forestry,,,1608,1608,Pulpwood+Particles(C)
Forestry,,,1611,1611,Pulpwood+Particles(NC)
Forestry,,,1609,1609,Recovered Fibre Pulp
Forestry,,,1669,1669,Recovered Paper
Forestry,,,1601,1601,Sawlogs+Veneer Logs (C)
Forestry,,,1604,1604,Sawlogs+Veneer Logs (NC)
Forestry,,,1632,1632,Sawnwood (C)
Forestry,,,1633,1633,Sawnwood (NC)
Forestry,,,1655,1655,Semi-Chemical Wood Pulp
Forestry,,,1662,1662,Unbleached Sulphate Pulp
Forestry,,,1660,1660,Unbleached Sulphite Pulp
Forestry,,,1612,1612,Uncoated Mechanical
Forestry,,,1615,1615,Uncoated Woodfree
Forestry,,,1634,1634,Veneer Sheets
Forestry,,,1630,1630,Wood Charcoal
Forestry,,,1629,1629,Wood Fuel Trd
Forestry,,,1627,1627,Wood Fuel(C)
Forestry,,,1628,1628,Wood Fuel(NC)
Forestry,,,1693,1693,Wood Pellets
Forestry,,,1620,1620,Wood Residues
Forestry,,,1681,1681,Wrapg+Packg Paper+Board
Forestry,,,1621,1621,Wrapping Papers
Forestry,TRUE,,1874,1874,Fibreboard > (List)
Forestry,TRUE,,1877,1877,Forest Products > (List)
Forestry,TRUE,,1865,1865,Industrial Roundwood > (List)
Forestry,TRUE,,1866,1866,Industrial Roundwood(C) > (List)
Forestry,TRUE,,1867,1867,Industrial Roundwood(NC) > (List)
Forestry,TRUE,,1871,1871,Other Indust Roundwd > (List)
Forestry,TRUE,,1876,1876,Paper and Paperboard > (List)
Forestry,TRUE,,1860,1860,Paper+-Board Ex Newsprnt > (List)
Forestry,TRUE,,1878,1878,Pulp for Paper > (List)
Forestry,TRUE,,1870,1870,Pulpwood and Particles > (List)
Forestry,TRUE,,2038,2038,"Pulpwood,Round&Split > (List)"
Forestry,TRUE,,1862,1862,Roundwood (C) > (List)
Forestry,TRUE,,1863,1863,Roundwood (NC) > (List)
Forestry,TRUE,,1861,1861,Roundwood > (List)
Forestry,TRUE,,1868,1868,Sawlogs and Veneer Logs > (List)
Forestry,TRUE,,1872,1872,Sawnwood > (List)
Forestry,TRUE,,1879,1879,Total Fibre Furnish > (List)
Forestry,TRUE,,1864,1864,Wood Fuel > (List)
Forestry,TRUE,,1875,1875,Wood Pulp > (List)
Forestry,TRUE,,1859,1859,Wood Pulp Exc Mechanical > (List)
Forestry,TRUE,,1873,1873,Wood-Based Panels > (List)
Forestry,,1874,1647,,Hardboard
Forestry,,1874,1648,,MDF
Forestry,,1874,1649,,"Fibreboard, Compressed"
Forestry,,1874,1650,,Insulating Board
Forestry,,1877,1601,,Sawlogs+Veneer Logs (C)
Forestry,,1877,1604,,Sawlogs+Veneer Logs (NC)
Forestry,,1877,1608,,Pulpwood+Particles(C)
Forestry,,1877,1611,,Pulpwood+Particles(NC)
Forestry,,1877,1614,,"Pulpwood,Round&Split Trd"
Forestry,,1877,1619,,Chips and Particles
Forestry,,1877,1620,,Wood Residues
Forestry,,1877,1623,,Other Indust Roundwd(C)
Forestry,,1877,1625,,Other Indust Roundwd Trd
Forestry,,1877,1626,,Other Indust Roundwd(NC)
Forestry,,1877,1629,,Wood Fuel Trd
Forestry,,1877,1630,,Wood Charcoal
Forestry,,1877,1632,,Sawnwood (C)
Forestry,,1877,1633,,Sawnwood (NC)
Forestry,,1877,1634,,Veneer Sheets
Forestry,,1877,1640,,Plywood
Forestry,,1877,1646,,Particle Board
Forestry,,1877,1647,,Hardboard
Forestry,,1877,1648,,MDF
Forestry,,1877,1649,,"Fibreboard, Compressed"
Forestry,,1877,1650,,Insulating Board
Forestry,,1877,1651,,Ind Rwd Wir (C)
Forestry,,1877,1654,,Mechanical Wood Pulp
Forestry,,1877,1655,,Semi-Chemical Wood Pulp
Forestry,,1877,1656,,Chemical Wood Pulp
Forestry,,1877,1657,,Ind Rwd Wir (NC) Tropica
Forestry,,1877,1667,,Dissolving Wood Pulp
Forestry,,1877,1668,,Other Fibre Pulp
Forestry,,1877,1669,,Recovered Paper
Forestry,,1877,1670,,Ind Rwd Wir (NC) Other
Forestry,,1877,1671,,Newsprint
Forestry,,1877,1674,,Printing+Writing Paper
Forestry,,1877,1675,,Other Paper+Paperboard
Forestry,,1877,1693,,Wood Pellets
Forestry,,1865,1601,,Sawlogs+Veneer Logs (C)
Forestry,,1865,1602,,"Pulpwood,Round&Split(C)"
Forestry,,1865,1603,,"Pulpwood,Round&Split(NC)"
Forestry,,1865,1604,,Sawlogs+Veneer Logs (NC)
Forestry,,1865,1608,,Pulpwood+Particles(C)
Forestry,,1865,1611,,Pulpwood+Particles(NC)
Forestry,,1865,1614,,"Pulpwood,Round&Split Trd"
Forestry,,1865,1623,,Other Indust Roundwd(C)
Forestry,,1865,1625,,Other Indust Roundwd Trd
Forestry,,1865,1626,,Other Indust Roundwd(NC)
Forestry,,1865,1651,,Ind Rwd Wir (C)
Forestry,,1865,1657,,Ind Rwd Wir (NC) Tropica
Forestry,,1865,1670,,Ind Rwd Wir (NC) Other
Forestry,,1866,1601,,Sawlogs+Veneer Logs (C)
Forestry,,1866,1602,,"Pulpwood,Round&Split(C)"
Forestry,,1866,1608,,Pulpwood+Particles(C)
Forestry,,1866,1623,,Other Indust Roundwd(C)
Forestry,,1866,1651,,Ind Rwd Wir (C)
Forestry,,1867,1603,,"Pulpwood,Round&Split(NC)"
Forestry,,1867,1604,,Sawlogs+Veneer Logs (NC)
Forestry,,1867,1611,,Pulpwood+Particles(NC)
Forestry,,1867,1626,,Other Indust Roundwd(NC)
Forestry,,1867,1657,,Ind Rwd Wir (NC) Tropica
Forestry,,1867,1670,,Ind Rwd Wir (NC) Other
Forestry,,1871,1623,,Other Indust Roundwd(C)
Forestry,,1871,1625,,Other Indust Roundwd Trd
Forestry,,1871,1626,,Other Indust Roundwd(NC)
Forestry,,1876,1671,,Newsprint
Forestry,,1876,1674,,Printing+Writing Paper
Forestry,,1876,1675,,Other Paper+Paperboard
Forestry,,1860,1674,,Printing+Writing Paper
Forestry,,1860,1675,,Other Paper+Paperboard
Forestry,,1878,1654,,Mechanical Wood Pulp
Forestry,,1878,1655,,Semi-Chemical Wood Pulp
Forestry,,1878,1656,,Chemical Wood Pulp
Forestry,,1878,1668,,Other Fibre Pulp
Forestry,,1870,1608,,Pulpwood+Particles(C)
Forestry,,1870,1611,,Pulpwood+Particles(NC)
Forestry,,1870,1614,,"Pulpwood,Round&Split Trd"
Forestry,,2038,1602,,"Pulpwood,Round&Split(C)"
Forestry,,2038,1603,,"Pulpwood,Round&Split(NC)"
Forestry,,1862,1601,,Sawlogs+Veneer Logs (C)
Forestry,,1862,1602,,"Pulpwood,Round&Split(C)"
Forestry,,1862,1608,,Pulpwood+Particles(C)
Forestry,,1862,1623,,Other Indust Roundwd(C)
Forestry,,1862,1627,,Wood Fuel(C)
Forestry,,1862,1651,,Ind Rwd Wir (C)
Forestry,,1863,1603,,"Pulpwood,Round&Split(NC)"
Forestry,,1863,1604,,Sawlogs+Veneer Logs (NC)
Forestry,,1863,1611,,Pulpwood+Particles(NC)
Forestry,,1863,1626,,Other Indust Roundwd(NC)
Forestry,,1863,1628,,Wood Fuel(NC)
Forestry,,1863,1657,,Ind Rwd Wir (NC) Tropica
Forestry,,1863,1670,,Ind Rwd Wir (NC) Other
Forestry,,1861,1601,,Sawlogs+Veneer Logs (C)
Forestry,,1861,1602,,"Pulpwood,Round&Split(C)"
Forestry,,1861,1603,,"Pulpwood,Round&Split(NC)"
Forestry,,1861,1604,,Sawlogs+Veneer Logs (NC)
Forestry,,1861,1608,,Pulpwood+Particles(C)
Forestry,,1861,1611,,Pulpwood+Particles(NC)
Forestry,,1861,1614,,"Pulpwood,Round&Split Trd"
