vocabulary;uri;code;narrative
RO;;;Information and Communication Technology
RO;;;Governance, Citizenship and Rights
RO;;;HIV and AIDS
RO;;;Food and Livelihood Security
RO;;;Emergency Relief and Recovery
RO;;;Civil Society Effectiveness
RO;;;Health and Well-being
RO;;;Peace building
RO;;;Conflict Resolution
RO;;;HIV/AIDS
RO;;;Sustainable Livelihoods
RO;;;Emergency
RO;;;Human Rights
RO;;;Economic Advocacy
RO;;;Industry
RO;;;National Development Banks
RO;;;Agriculture & Agro-Industry
RO;;;Non-Sectoral
RO;;;Multi-Sector
RO;;;Water Supply & Sewerage
RO;;;Health & Population
RO;;;Infrastructure
RO;;;Urban Development
RO;;;Telecommunications
RO;;;Food security
RO;;;DRR
RO;;;Agriculture
RO;;;Multi-sector
RO;;;Water Management
RO;;;Coastal Management
RO;;;Rural development
RO;;;Rural Development
RO;;;Stars Impact Awards span across the following four categories: child health, education, protection and WASH.
RO;;1;Santé et protection sociale
RO;;1;Santé
RO;;1;A Sustainable Livelihood
RO;;12;ED006 Vocational Education
RO;;13;ED007 Other Education
RO;;15;EM028 General Relief/Emergency Management
RO;;16;EM032 Prep/Prev/Risk Reduction
RO;;19;EM035 Other Emergencies
RO;;2;Éducation et formation professionnelle
RO;;2;Education and Health Care
RO;;2;CR015 CRC Monitoring
RO;;20;HE008 Maternal and Newborn Health
RO;;21;HE009 Child Health
RO;;23;HE011 Other Health
RO;;27;HV036 Affected Children - No Adequate Care
RO;;3;Agriculture, développement rural, sécurité alimentaire
RO;;3;Agriculture et sécurité alimentaire
RO;;3;Life and Security
RO;;3;Life and Securi
RO;;3;CR016 Strengthening National Systems
RO;;32;LH041 Asset Recovery/Protection
RO;;33;LH042 Income/Asset Growth
RO;;34;LH043 Other Livelihoods
RO;;35;NU012 Maternal and Newborn Nutrition
RO;;36;NU013 Child Nutrition
RO;;37;NU014 Other Nutrition
RO;;4;Développement durable (environnement et énergie, eau et assainissement, ville)
RO;;4;Développement durable
RO;;4;Right to be Heard
RO;;4;CR017 Building Awareness and Capacity
RO;;40;PR019 Children without Appropriate Care
RO;;41;PR020 Violence In Armed Conflict
RO;;42;PR021 Physical/humiliating punishment
RO;;43;PR022 Protect Against Harmful Child Labour
RO;;44;PR023 Children in Contact with the Law
RO;;45;PR024 Children Sexually AbusedandExploited
RO;;45;PR024 Children Sexually Abused&Exploited
RO;;48;PR027 Other Child Protection
RO;;5;Soutien à la croissance (secteurs privé et financier, commerce et intégration régionale, infrastructures et transports)
RO;;5;Soutien à la croissance
RO;;5;Right to Equity: Gender and Diversity
RO;;5;CR018 Other Child Rights Governance
RO;;6;Gouvernement et société civile (gouvernance, appui aux institutions, appui aux OSC)
RO;;6;Gouvernement et société civile
RO;;7;Autre
RO;;7;Autre (Aide multisectorielle, aide humanitaire…)
RO;;7;ED001 Basic Education
RO;;8;ED002 Early Childhood Development
RO;;9;ED003 Adolescent Non-Formal
RO;;Basic Needs-Distribution - Non Food Items;
RO;;CO;Coordination
RO;;Disability;
RO;;Fair Trade;
RO;;Food Security;125 water tankers/10,000 litres distributed to 833 HHs and asorted food items distributed to 800 HHs
RO;;Health;This project will aim to reduce Child mortality, Improve maternal Health and Combat HIV/AIDS, Malaria and other diseases.
RO;;Nature con;
RO;;Strengthening Civil Society;15150
RO2;;Health;
RO2;;NGO;
RO2;;Nutrition;
RO2;;WASH;
U.S. Sector Framework;;2001;Rule of Law and Human Rights
U.S. Sector Framework;;2004;Civil Society
U.S. Sector Framework;;3001;HIV/AIDS
U.S. Sector Framework;;3005;Other Public Health Threats
U.S. Sector Framework;;3007;Family Planning and Reproductive Health
U.S. Sector Framework;;3008;Water Supply and Sanitation
U.S. Sector Framework;;3009;Nutrition
U.S. Sector Framework;;4001;Basic Education
U.S. Sector Framework;;4002;Higher Education
U.S. Sector Framework;;4003;Policies, Regulations, and Systems
U.S. Sector Framework;;4004;Social Services
U.S. Sector Framework;;4005;Social Assistance
U.S. Sector Framework;;5001;Macroeconomic Foundation for Growth
U.S. Sector Framework;;5002;Trade and Investment
U.S. Sector Framework;;5003;Financial Sector
U.S. Sector Framework;;5004;Infrastructure
U.S. Sector Framework;;5005;Agriculture
U.S. Sector Framework;;5006;Private Sector Competitiveness
U.S. Sector Framework;;5007;Economic Opportunity
U.S. Sector Framework;;6002;Natural Resources and Biodiversity
U.S. Sector Framework;;6003;Clean Productive Environment
U.S. Sector Framework;;8001;Direct Administrative Costs
U.S. Sector Framework;;9000;Multi-sector - Unspecified
WBSector;;AB;Agricultural extension and research
WBSector;;AH;Crops
WBSector;;AI;Irrigation and drainage
WBSector;;AJ;Animal production
WBSector;;AT;Forestry
WBSector;;AZ;General agriculture, fishing and forestry sector
WBSector;;BC;Central government administration
WBSector;;BE;Compulsory pension and unemployment insurance
WBSector;;BG;Law and justice
WBSector;;BH;Sub-national government administration
WBSector;;BK;Compulsory health finance
WBSector;;BL;Public administration- Agriculture, fishing and forestry
WBSector;;BM;Public administration- Information and communications
WBSector;;BN;Public administration- Education
WBSector;;BO;Public administration- Financial Sector
WBSector;;BQ;Public administration- Health
WBSector;;BS;Public administration- Other social services
WBSector;;BT;Public administration- Industry and trade
WBSector;;BU;Public administration- Energy and mining
WBSector;;BV;Public administration- Transportation
WBSector;;BW;Public administration- Water, sanitation and flood protection
WBSector;;BZ;General public administration sector
WBSector;;CA;Information technology
WBSector;;CT;Telecommunications
WBSector;;CZ;General information and communications sector
WBSector;;EC;Pre-primary education
WBSector;;EL;Adult literacy/non-formal education
WBSector;;EP;Primary education
WBSector;;ES;Secondary education
WBSector;;ET;Tertiary education
WBSector;;EV;Vocational training
WBSector;;EZ;General education sector
WBSector;;FA;Banking
WBSector;;FB;Non-compulsory health finance
WBSector;;FC;Housing finance
WBSector;;FD;Non-compulsory pensions and insurance
WBSector;;FG;Payments, settlements, and remittance systems
WBSector;;FH;SME Finance
WBSector;;FI;Microfinance
WBSector;;FK;Capital markets
WBSector;;FL;Other non-bank financial intermediaries
WBSector;;FR;Credit Reporting and Secured Transactions
WBSector;;FZ;General finance sector
WBSector;;JA;Health
WBSector;;JB;Other social services
WBSector;;LA;Energy efficiency in power sector
WBSector;;LC;Oil and gas
WBSector;;LG;Thermal Power Generation
WBSector;;LH;Large Hydropower
WBSector;;LM;Coal Mining
WBSector;;LR;Other Renewable Energy
WBSector;;LS;Other Mining and Extractive Industries
WBSector;;LT;Transmission and Distribution of Electricity
WBSector;;LZ;General energy sector
WBSector;;TC;Urban Transport
WBSector;;TI;Rural and Inter-Urban Roads and Highways
WBSector;;TP;Ports, waterways and shipping
WBSector;;TV;Aviation
WBSector;;TW;Railways
WBSector;;TZ;General transportation sector
WBSector;;WA;Sanitation
WBSector;;WB;Solid waste management
WBSector;;WC;Water supply
WBSector;;WD;Flood protection
WBSector;;WT;Wastewater Collection and Transportation
WBSector;;WV;Wastewater Treatment and Disposal
WBSector;;WZ;General water, sanitation and flood protection sector
WBSector;;YA;Agro-industry, marketing, and trade
WBSector;;YC;Housing construction
WBSector;;YD;Petrochemicals and fertilizers
WBSector;;YW;Other industry
WBSector;;YY;Other domestic and international trade
WBSector;;YZ;General industry and trade sector
WBTheme;;0020;Analysis of economic growth
WBTheme;;0021;Debt management and fiscal sustainability
WBTheme;;0022;Economic statistics, modeling and forecasting
WBTheme;;0023;Macroeconomic management
WBTheme;;0024;Other economic management
WBTheme;;0025;Administrative and civil service reform
WBTheme;;0026;Decentralization
WBTheme;;0027;Public expenditure, financial management and procurement
WBTheme;;0028;Tax policy and administration
WBTheme;;0029;Other accountability/anti-corruption
WBTheme;;0030;Other public sector governance
WBTheme;;0031;Access to law and justice
WBTheme;;0032;Judicial and other dispute resolution mechanisms
WBTheme;;0033;Law reform
WBTheme;;0034;Legal institutions for a market economy
WBTheme;;0035;Legal services
WBTheme;;0036;Personal and property rights
WBTheme;;0037;Other rule of law
WBTheme;;0038;Corporate governance
WBTheme;;0039;Infrastructure services for private sector development
WBTheme;;0040;Regulation and competition policy
WBTheme;;0041;Micro, Small and Medium Enterprise support
WBTheme;;0042;International financial standards and systems
WBTheme;;0043;State-owned enterprise restructuring and privatization
WBTheme;;0045;Export development and competitiveness
WBTheme;;0047;Regional integration
WBTheme;;0048;Technology diffusion
WBTheme;;0049;Trade facilitation and market access
WBTheme;;0050;Other trade and integration
WBTheme;;0051;Improving labor markets
WBTheme;;0052;Natural disaster management
WBTheme;;0053;Poverty strategy, analysis and monitoring
WBTheme;;0054;Social safety nets
WBTheme;;0055;Vulnerability assessment and monitoring
WBTheme;;0056;Other social protection and risk management
WBTheme;;0057;Participation and civic engagement
WBTheme;;0058;Conflict prevention and post-conflict reconstruction
WBTheme;;0059;Gender
WBTheme;;0060;Indigenous peoples
WBTheme;;0062;Other social development
WBTheme;;0063;Child health
WBTheme;;0064;Other communicable diseases
WBTheme;;0065;Education for all
WBTheme;;0066;Education for the knowledge economy
WBTheme;;0067;Health system performance
WBTheme;;0068;Nutrition and food security
WBTheme;;0069;Population and reproductive health
WBTheme;;0070;Other human development
WBTheme;;0071;Urban services and housing for the poor
WBTheme;;0072;Municipal finance
WBTheme;;0073;Municipal governance and institution building
WBTheme;;0074;Other urban development
WBTheme;;0075;Rural markets
WBTheme;;0076;Rural non-farm income generation
WBTheme;;0077;Rural policies and institutions
WBTheme;;0078;Rural services and infrastructure
WBTheme;;0079;Other rural development
WBTheme;;0080;Biodiversity
WBTheme;;0081;Climate change
WBTheme;;0082;Environmental policies and institutions
WBTheme;;0083;Land administration and management
WBTheme;;0084;Pollution management and environmental health
WBTheme;;0085;Water resource management
WBTheme;;0086;Other environment and natural resources management
WBTheme;;0087;Social risk mitigation
WBTheme;;0088;HIV/AIDS
WBTheme;;0089;Injuries and non-communicable diseases
WBTheme;;0090;Managing for development results
WBTheme;;0091;Global food crisis response
WBTheme;;0092;Malaria
WBTheme;;0093;Tuberculosis
WBTheme;;0094;e-Government
WBTheme;;0095;e-Services
WBTheme;;0096;Financial Consumer Protection and Financial Literacy
WBTheme;;0097;Anti-Money Laundering and Combating the Financing of Terrorism
WBTheme;;0098;Other Financial Sector Development
WBTheme;;0100;Social Inclusion
WBTheme;;0101;Urban planning and housing policy
WBTheme;;0102;City-wide Infrastructure and Service Delivery
WBTheme;;0103;Urban Economic Development
WBTheme;;0104;Cultural Heritage
