reporting-org;result;indicator
41122;;ROSA 1: Neonatal mortality rate (deaths per 1000 live births)
41122;;ROSA 1: Percentage of live births attended by skilled health personnel
41122;;ROSA 2: Polio Free status maintained
41122;;ROSA 3: Proportion of children 0-5 months old who are fed exclusively with breastmilk
41122;;2.4.3.1  Percentage of hospitals and BHUs implementing IMNCI   Care for Child Development and Growth Monitoring  programme (IMNCI BHUs)
41122;;2.4.3.2 Percentage of hospitals and BHUs implementing IMNCI  Care for Child Development and Growth Monitoring programme (IMNCI hospitals)
41122;;2.4.3.4 Percentage of hospitals and BHUs implementing IMNCI  Care for Child Development and Growth Monitoring programme (Growth Monitoring)
41122;;2.4.3.3 Percentage of hospitals and BHUs implementing IMNCI  Care for Child Development and Growth Monitoring programme (Care for Child Development Programme)
41122;;2.4.4 Percentage of pregnant women with blood pressure  urine and blood samples tested
41122;;2.4.5 Proportion of HIV positive pregnant women receiving ART
41122;;ROSA 3: Proportion (%) of children 0-23 months old who were put to the breast within one hour of birth
41122;;Updated and disaggregated MNCH and Nutrition data based on DHS  MICS and Nutrition survey
41122;;Institutionalization of Neonatal and Child Health interventions
41122;;Nutrition policy and programme reviewed
41122;;EPI Policy and programme reviewed
41122;;Number of communication activities on RH  MCH  Nutrition and Immunization conducted
41122;;% HH salt iodized salt consumption.
41122;;% of children receiving vitamin A
41122;;% infants under 6 months exclusively breastfed
41122;;Proportion of children 6-59 months old screened for acute malnutrition in targeted areas
41122;;Percentage of Moderately Acute Malnourished (MAM) children under five treated in each zoba
41122;;Percentage of acute malnourished children cured
41122;;Proportion of children 6-59 months old in need of SAM treatment who were admitted in the last calendar year
41122;;Proportion of health facilities that are providing SAM management services
41122;;No. of health workers who were trained to provide IYCF counselling
41122;;Availability of National Strategy on IYCF
41122;;Percentage of children receiving vitamin A in each round of Community Health and Nutrition Week (CHNW)
41122;;Percentage of iodized salt produced per year
41122;;Percentage of HH salt iodized salt consumption
41122;;Number of community volunteers trained yearly in integrated IYCF counselling
41122;;Number of active Commmunity health workers trained on IYCF including complementary feeding
41122;;Number of health workers trained yearly in integrated IYCF counselling
41122;;% acute malnourished children cured
41122;;% acute malnourished children have access to IMAM
41122;;Percentage of children 6-59 months who received 2 doses of Vitamin A
41122;;Percentage of children under weight
41122;;Percentage of children recover from therapuetic feeding center
41122;;Percentage of HH consum iodized salt
41122;;Número de políticas de salud y nutrición de NNA y mujeres aprobadas en apoyo a la institucionalización de LEPINA
41122;;Número de normativas revisadas y actualitzas por el Ministerio de Salud para la mejora de la salud materno infantil
41122;;Número de leyes aprobadas que fortalece la capacidad del Ministerio de Salud para garantizar derechos de NNA a la supervivencia y desarrollo.
41122;;Número de alianzas público privados para mejorar la salud materno infantil
41122;;Leyes nacionales para garantizar el derecho a la salud de los niños  niñas y mujeres aprobadas y con mecanismos operativos consensuados y en proceso de implementación en el marco de la LEPINA
41122;;Number of PICs condcuting EPI coverage survey by June 2014
41122;;# of PICs with over 80% Proportion of one-year-olds who received 3 doses of combined diphtheria /pertussis/ tetanus vaccine (DPT3) or Penta3 vaccine specific sex-disaggregated.
41122;;Number of months of vaccines stock outs in the country levels
41122;;% of one-year olds immunized against measles
41122;;% of one-year-olds who received 3 doses of combined diphtheria /pertussis/ tetanus vaccine (DPT3) or Penta3 vaccine specific sex-disaggregated
41122;;Fully costed immunization plan available and used
41122;;# of PICs with over 80% of health facilities meeting WHO Emergency Obstetric and Newborn Care Standards
41122;;# of PICs with over 80% proportion of children aged 6¿59 months fully covered with 2 doses of vitamin A in the last year specific sex-disaggregated.
41122;;Proportion of health facilities with Neonatal services that meeting 10 EENC standards
41122;;% proportion of children aged 6¿59 months fully covered with 2 doses of vitamin A in the last year specific sex-disaggregated.
41122;;% proportion of children aged 6¿59 months fully covered with 2 doses of vitamin A in the last year specific sex-disaggregated
41122;;% of infants 6-8 months receiving complementary foods.
41122;;% Infants 0-5 months exclusively breastfed.
41122;;Proportion of pregnant women who have received iron-folate tablets (disaggregated by wealth quintile and education level).
41122;;% of infants aged 0 ¿ 5 months who are exclusively breastfed disaggregated by gender and wealth.
41122;;Proportion of infants aged 6-8 months who receive complementary foods
41122;;Proportion of primary schools with inclusive WASH in Schools facilities for girls and boys which meet national infrastructure standards
41122;;Net Enrolment Rate Primary Schools
41122;;Net Intake Rate Primary Schools
41122;;Retention/Survival Rate Primary Schools
41122;;Proportion of primary schools which implement costed School Development Plans (SIP).
41122;;% of infants aged 6-8 months who receive complementary foods
41122;;Proportion of pregnant women who have receive iron-folate tablets
41122;;% of infants aged 0 ¿ 5 months who are exclusively breastfed
41122;;Provision of quality SRH and MCH services at health facilities
41122;;Development and implementation status of Sexual Reproductive Health  Safe Motherhood  Maternal and Child Health and Neo natal Action relevant policies  plans and protocols
41122;;Development and implementation status of a national nutrition strategy
41122;;% pregnant women and caregivers of children under three years in target regions having knowledge of Infant and Young Child Feeding Practices
41122;;% of target children aged 6-23 months benefiting from micro-nutrient supplements
41122;;% of maternal and child (neonatal) health facilities in target Regions which meet minimum standards for maternal care  PMTCT and baby friendly services  including quality and timely reporting
41122;;# of countries with a policy or plan targeting micronutrient deficiency reduction  through home fortification
41122;;# of countries (stunting rates > 30%) that develop a scaling up plan to reduce stunting with a focus on improving infant and young child feeding and home fortification
41122;;# of countries (global acute malnutrition rates >=10%) that meet the minimum Sphere standards for severe acute malnutrition
41122;;# of country putting in place a nutrition information management system
41122;;# of regional events that focus on critical areas of nutrition and help to reach consensus on priority actions
41122;;CO rating of RO performance in the provision of Technical Assistance in Nutrition
41122;;Number of COs that have implemented at least one annual nutrition survey with SMART surveys with acceptable data quality
41122;;Number of COs implementing programs to improve complementary feeding using home fortification
41122;;Percentage of countries afflicted by nutrition crises with adequate and timely preparation in place
41122;;Median Urinary Iodine Excretion level in school children (micrograms)
41122;;% children between 6-59 months received at least one high dose of Vitamin A in the last six months)
41122;;% of household using adequately iodized salt
41122;;% pregnant women received iron/folate tablets at ante-natal care
41122;;% of children between 2-5 years receiving at least once de-worming tablet in the last six months
41122;;% pregnant and lactating women receiving vitamin B1 tablet
41122;;6-8 months infants receive appropriate complementary food
41122;;% children 0-5 months who are exclusively breast fed by wealth quintiles
41122;;Strategy for exclusive breastfeeding developed and implemented
41122;;International Code of Marketing of Breast-Milk Substitutes is adopted as legislation  and a system for monitoring and enforcement is established.   Scale: 0 (no existence)  1 (order drafted)  2 (order adapted)  3 (monitoring and enforcement system is established)
41122;;A multi-sectoral and costed  Scaling Up Nutrition (SUN) operational plan is in place that includes clear targets especially for the most vulnerable groups.                             Scale: 0 (not established)  1 (draft plan exists)  2 (draft plan is costed)  3 (plan is endorsed by Government)  4 (plan is operational)
41122;;Percentage of households using adequately iodized salt
41122;;Percentage of pregnant women receiving at least 90 iron folate tablets at antenatal care
41122;;Number of hospitals and townships that implement management of acute malnutrition in targeted high risk townships
41122;;Percentage of under five children receiving at least one high dose of vit A in the last six months
41122;;Percentage of children between 2-5 years receiving at least once deworming tablet in the last six months
41122;;Proportion of infants 6-8 months of age who receive solid  semi-solid or soft food
41122;;Percentage of infants aged 0-5 months who are exclusively breastfed
41122;;Number of selected programme management indicators (0% DCT>9 months  100% GRANT utilization at expiry date  0 donor report overdue) meeting the standards defined in the office management plan
41122;;Existence d'un cadre de coordination/pilotage de lutte contre la malnutrition
41122;;Existence d'un cadre strategique de lutte contre la malnutrition
41122;;Existence d'un plan operationnel de lutte contre la malnutrition
41122;;Existence of a coordination / steering framework for the fight against malnutrition
41122;;Existence of a strategic framework for the fight against malnutrition
41122;;Existence of an operational plan against malnutrition
41122;;Existence d'un cadre de partenariat pour la mise en application de la loi de protection des populations autochtones
41122;;% d'enfants autochtones qui ont un acte de naissance.
41122;;Taux brut de scolarisation des enfants autochtones
41122;;% des CSS qui offrent un paquet minimum de services aux enfants autochtones
41122;;Taux de transition des écoles ORA vers les écoles formelles
41122;;% of health facilities in 15 health districts implementing the Essential Package of nutrition interventions
41122;;% formations sanitaires dans les 15 Districts sanitaires qui mettent en ¿uvre le PEIN
41122;;% of children from 6 to 59 months dewormed
41122;;% d'enfants de 6 à 59 mois supplémentés en vitamine A
41122;;% d'enfants de 6 à 59 mois déparasités
41122;;% of children 6-59 months supplemented with vitamin A
41122;;Availability of strategic plan on fortification of sugar on vitamin A
41122;;% of households with iodized salt in targeted health districts
41122;;Nombre d'enfants affectés (filles/garçons) pris en charge
41122;;Nombre de personnes sinistrées ayant accès aux ouvrages et services WASH dans les sites des déplacés de la Likouala et à Brazzaville
41122;;% d'enfants supplémentés en vitamine A dans les sites de déplacés de Likouala et Brazzaville
41122;;% d'enfants vaccinés contre la rougeole dans les sites de déplacés de Likouala et Brazzaville
41122;;% d'enfants accédant à leur droit à l'éducation dans les situations d'urgence déclarées
41122;;% des CSS ciblées ayant des couvertures d'au moins 80% d'enfants de 6 à 59 mois supplémentés en Vitamin A
41122;;Pourcentage de ménages dotés en MILDA
41122;;Nombre d'enfants en âge scolaire (6-15 ans) ayant bénéficié d'une visite médicale en milieu scolaire
41122;;Nombre de MIILDA distribués aux ménages dénombrés
41122;;% des CSS ciblées ayant des couvertures vaccinales en Penta 3  VAR et VAT2+d'au moins 80%.
41122;;Nombre de relais communautaire formés dans la diffusion des messages liés aux pratiques familiales essentielles
41122;;% de ménages couverts par les messages liés aux pratiques familiales essentielles
41122;;# de département démontrant de capacité d' absorption d' utilisation et de gestion efficace de 100% des ressources( fonds  intrants) allouées au MSPP pour la nutrition ( Plan de travail  budget ventilé)
41122;;# de chefs de programmes et des points focaux nutrition au niveau central et départemental disposant de capacités techniques et managériales
41122;;# de ressources humaines additionnelles octroyées au gouvernement pour renforcer son rôle de régulation  de coordination  d'encadrement et de supervision
41122;;# d'écoles de formation évaluées et responsables formés sur la prise en charge de la malnutrition
41122;;# d'agents de santé qui ont la capacité sur la prévention et la prise en charge de la malnutrition et sur la problématique des enfants vivants avec un handicap et capables de référer des victimes de violence basée sur le genre et autres violences aux services sociaux respectifs
41122;;Existence d'organisme ou plateforme multisectorielle de coordination de la nutrition (regroupant les ministères étatiques : Agronomie  CNSA  Commerce ¿)
41122;;Haut niveau de plaidoyer pour lutter contre la faim et la malnutrition avec l'implication des autorités étatiques
41122;;% of institutions meeting international standards in nutrition interventions for children and women
41122;;# of staff trained using quality evidence/information to implement effective nutrition interventions
41122;;% of households using salt with adequate levels of iodine (¿ 15 ppm)
41122;;% of children 6-59 months old supplemented with two doses of vitamin A and deworming annually
41122;;% of adolescent girls (school going and out-of-school) receiving weekly iron/folic acid supplements and twice-yearly deworming (in 2 departments)
41122;;% of pregnant women taking iron/folic acid for 90+ days
41122;;% of post-partum women receiving vitamin A supplement
41122;;Disponibilité d'un document cadre décrivant l'ensemble des interventions essentielles pour la santé de l'enfant ainsi que le registre/ carnet adapte permettant de suivre si un bénéficiaire a reçu toutes les interventions selon les normes.
41122;;% d'enfants de 6-59 mois supplémentés avec la vitamine A 2 fois par année
41122;;% de filles et garçons de 12-59 mois déparasités avec l'albendazole 2 fois par année
41122;;% d'adolescentes scolarisées (10-18 y) reçoivent du fer/acide folique et albendazole 2 fois par année
41122;;% des femmes enceintes qui ont accès et consomment 90+ comprimés de fer/acide folique
41122;;% d'enfants avec diarrhée qui reçoivent du zinc en plus du SRO
41122;;# de département arrivant à intégrer dans leur approche la stratégie de lutte contre la carence en micronutriment se traduisant par une supplémentation de routine en Vitamine A > 40% (indicateur de substitution)
41122;;% of vulnerable and hard to reach children and women (in 2 communes) reached with the 10 essential nutrition interventions
41122;;% of health professional (in 2 communes) who know and apply the 10 essential nutrition interventions in the intervention areas
41122;;Nbre de département n'ayant pas expérimenté de rupture de stock au cours de l'année
41122;;% d'enfants mis au sein dans l'heure qui suit la naissance
41122;;# d'agents de santé qui ont la capacité sur la prise en charge de la malnutrition aigüe sévère et les techniques de promotion des pratiques optimales de l'allaitement maternel
41122;;% de filles et garçons 6-23 moins consommant des aliments enrichis avec des poudres de micronutriments
41122;;# cumulé de filles et de garçons avec malnutrition aiguë sévère pris en charge
41122;;# de femmes enceintes HIV+ qui reçoivent des conseils sur l'ANJE et du fer/acide folique
41122;;% de structure sanitaire offrant des services de nutrition (dépistage   de prise en charge MAS  et promotion ANJE)
41122;;Number of girls  boys and women benefiting from nutrition interventions during an emergency
41122;;% of stunting in children under 5 years old
41122;;% of pregnant with at least four prenatal care during pregnancy
41122;;% Of deliveries attended by qualified personnel according to established protocols
41122;;% of new born mobility attended according to countries' clinical protocol
41122;;% of Health Units that have un-interrupted supply of essential commodities in order to guarantee obstetric and neonatal care
41122;;% of pregnant women who receive their first PNC during the first trimester of pregnancy
41122;;% of pregnant women that during their PNC receive their care in compliance of PNC 13 standards
41122;;% of health personnel from the health facilities that apply the national guides  protocols and norms of MINSA
41122;;% of children born in the last 24 months who received breastfeeding in the first hour of birth
41122;;% children who received exclusive breastfeeding during six months
41122;;"% of children evaluated according to the ""Growth Child Patterns of WHO"" in prioritised municipalities"
41122;;% of worker health  trained in norms of feeding and nutrition for children under 5 years old (prioritized municipalities)
41122;;Coverage of growth and development (VPCD) under 5 years olds in prioritized municipalities
41122;;% of children born in the last 24 months who received breastfeeding in the first hour of birth.
41122;;% of children by sex between 6 and 24 months of age that recieved complementary food in adequate frecuency and diversity
41122;;% health services with educational materials for breastfeeding counseling in prioritized municipalities
41122;;% of health personnel in centers and post of health trained in norms of feed and nutrition for children under 5 years old (prioiritized municipalities).
41122;;"% of children evaluated according to the ""Growth Child Patterns of WHO "" in prioritised municipalities"
41122;;Community-Led Total Sanitation Model piloted in one district and findings disseminated
41122;;% of children immuniseed aganst measles
41122;;Proportion of manourished under-five in the district receiving treatment in heath facilities using national C-MAM guidelines in four district
41122;;number of community nutrition clubs trained
41122;;Number of children served by community nutrition clubs
41122;;Number of nurses trained to vaccinate infants against pneumococcal diseases
41122;;Number of children reached wioth improved IYCF and WASH practices in community councils catchment areas
41122;;Proportion of community councils practicing positive deviance
41122;;Number of districts out of the 4 supported that increased their pentavalent3 coverage by at least 5% point
41122;;Numbwer of community health workers trained to implement integrated community-based case management
41122;;Number of under 5 children reach with health interventions using ingrated community-based case management UNICEF support
41122;;Number of newborns reached with health interventions
41122;;Number of Performance Based Financing (PBF) Districts that are tracking new born care indicators
41122;;Maternal neonatal child health and EPI KBP study report
41122;;National nutrition policy and strategy in place
41122;;Investment case on nutrition developed
41122;;Number of children reached with nutrition interventions with UNICEF support
41122;;Percentage of health facilities that offer EID and ART for children
41122;;Percentage of PMTCT health facilities implementing option B+ guidelines
41122;;Number of health facilities with at least on clinician (nurse or doctor) trained the new integrated paediatric package (IMAM  IMCI/paediatric ART and care services)
41122;;Number of districts maternal and child health plans developed using bottleneck analysis
41122;;Number of countries where all routine immunization spending is financed by the government
41122;;Number of countries implementing health communication strengthening programmes
41122;;Number of countries implementing enhanced home-visiting systems
41122;;Number of countries implementing modern district health management improvement initiatives
41122;;Number of countries implementing food fortification and IYCF programmes
41122;;Number of countries where minimum immunization coverage rates are 95% at national level and 90% at district level
41122;;A strategy to improve infant and young child feeding practices developed
41122;;Number of provinces having a provincial action plan for the reduction of stunting
41122;;% of children under 6 months who receive exclusive breastfeeding
41122;;% of children from 6 to 59 months who receive 2 doses of Vitamin A
41122;;Availability of a new or revised policy for home visits of newborns (as a part of the newborn action plan)
41122;;Number of operational researches supported by UNICEF annually
41122;;Number of newly constructed and renovated CFS schools.
41122;;% of children born in last 24 months put to breast within one hour
41122;;% of infants <6 months exclusively breastfed
41122;;% of infants 6 - 8 months receiving complementary foods
41122;;% of lactating mothers receiving vitamin A supplements
41122;;% of children 6 to 59 months received vitamin A supplements in the last 6 months
41122;;% of children 12 - 59 months dewormed in last 6 months
41122;;% of pregnant women receiving iron and folic acid supplementation
41122;;% of severely malnourished children treated
41122;;# of people using the WASH package in targeted communities and counties
41122;;Timely introduction of complementary feeding
41122;;% of EPHS health facilities providing ENA services
41122;;% of households nationwide being reached by ENA messages through community volunteers
41122;;Exclusive breastfeeding rate from birth to 6 months of age
41122;;Percentage of pregnant women who received deworming medication in intervention counties
41122;;Biannual vitamin A supplementation campaign coverage
41122;;Coverage of micronutrient powder supplementation among children aged 6-23 months
41122;;Percentage of pregnant women receiving iron supplements
41122;;Number of households that received LLINs with UNICEF support
41122;;Percentage of children under five treated for diarrhea with ORS and zinc at community level in targetted counties
41122;;% of targeted regions and districts with at least one nutrition officer
41122;;Health facilities in targeted districts providing quality nutrition services  as per Essential Nutrition Actions
41122;;% of health facilities (dispensaries & health facilities) with at least 1 Health worker trained on infant and young child feeding counselling
41122;;% of pregnant women and caregivers of children less than 2 years who participated in counselling sessions within the last 3 mths in target villages
41122;;% of districts with Vit A supplementation coverage above 90%
41122;;% of children under 5 years with SAM treated
41122;;Percentage of children 6-24 months receiving appropriate complementary feeding (as defined by the set criteria of Frequency  Amount  Density (energy)  Use of variety food and Active feeding) in piloted islands
41122;;U5 Underweight Prevalence
41122;;Percentage of children less than 6 months who are exclusively breastfed
41122;;. Prevalence of LBW
41122;;National food basket developed
41122;;Number of selected islands with health workers trained on comprehensive child nutrition
41122;;Percentage of children aged 0¿59 months who are stunted in the piloted islands
41122;;Percentage of pre-pregnant & pregnant women receiving Iron supplementation (60 mg iron   400 µg folic acid daily) for six months
41122;;Number of atolls with health workers trained on new born care
41122;;Peri-natal mortality rate ('000)
41122;;NMR ('000)
41122;;Improved health care services training modules developed
41122;;Number of selected islands of intervention with health workers trained in new-born care and Integrated management of Childhood Illnesses (IMCI)
41122;;Neonatal Mortality rate ('000)
41122;;# of key regional nutrition initiatives in which UNICEF is the co-chair or provides coordination support (SP reference P4.f.2)
41122;;# of priority COs with highest stunting level  particularly among most excluded and disadvantaged  supported in the implementation and action of MoRES L3
41122;;# of priority COs supported in the mapping of national capacity for Nutrition in Emergency
41122;;# of countries receiving strategic orientation to strengthen monitoring using APR scorecards and MNCH plans
41122;;# of COs with new SITAN receiving  assistance to analyse and monitoring sub-national levels of stunting  exclusive breastfeeding  anaemia  low-birth weight and child overweight and obesity
41122;;# of COs timely and adequately supported to address nutrition issues during their planning/programming process   (CPD  CPAP  MTR or CP review)
41122;;# of capacity development opportunities and lessons learnt documented and disseminated
41122;;# of countries benefiting from regional partnerships with Centres of Excellences  inter-governmental bodies and  UN task forces for achieving results for children
41122;;# of COs supported in implementing gender analysis of nutrition programmes
41122;;# of regional partnerships with Centres of Excellences  inter-governmental bodies and  UN task forces for achieving results for children
41122;;# of regional research publications (researches  studies and analysis) published by UNICEF on nutrition in children and women (SP reference P4.f.1)
41122;;Number of children receiving schools kits in 2013 for quality learning
41122;;Availability of peace-building  conflict / DRR component within education sector action plan 2017-2020
41122;;Availability of peace-building  conflict / DRR component within the revised curriculum
41122;;Availability of peace-building  conflict / DRR component within the teacher training curriculum
41122;;% of fundamental schools with functional school management committees
41122;;# of classrooms at fundamental level built  rehabilitated and equipped by UNICEF
41122;;# of fundamental school children receiving learning material during UNICEF BTS campaign
41122;;# of fundamental school teachers receiving didactic material by UNICEF
41122;;Number of new school built and equipped in 2012
41122;;Number of children receiving school kits
41122;;Net Enrolment Rate
41122;;Grade repetition rate
41122;;Number of classrooms built and equipped
41122;;Number of children receiving schools kits
41122;;Number of modules edited and disseminated
41122;;Number of trained education act
41122;;Number of repatriated children from Tanzania integrating the Burundian education system
41122;;% of children with access to Child Friendly Schools
41122;;% of children with access to school materials
41122;;Gender based violence in school and ealy pregnancy
41122;;Pupils : classroom ratio
41122;;Number of new classrooms built and equipped in 2013 for at least 8 880 pupils
41122;;Number of rapatried children from Tanzania integrating the burundiam education system
41122;;Insuffisance of school infrastructures  overal 74 pupils per class
41122;;Number of provincies and communities targated by the annual Back To School Campaign
41122;;Underfunding of education sector - 22% of total budget allocated to Education sector but directed to salaries mainly
41122;;Number of children and teachers receiving schools kits and learning materials
41122;;Number of trained education actors and teachers on CFS module represent only 24% of total teachers in the Burundi
41122;;Indirect cost of schooling for parents
41122;;Pupils: classroom ratio
41122;;% of health centres with adequate counselling cards to promote optimal IYCF practices at the facility level in targeted areas
41122;;% of underweight children 0-59 months
41122;;% of SAM children covered by CMAM protocol
41122;;Approval and functionality of high-level national multisectoral platform
41122;;% U5 children receiving optimal complementary feeding
41122;;"% of sub-hills / ""collines"" disposing of an entity trained on chronic malnutrition prevention"
41122;;% of children aged 6 to 23 months in Cibitoke and Ngozi supplemented with micronutrient powder two times per year
41122;;% of key community actors (light mothers) with capacity to provide IYCF counselling services to communities
41122;;% of health facilities with adequate supplies of complementary feeding (micronutrient powder) for children 6-23m in targeted areas
41122;;Percentage of antenatal care settings/ facilities in targeted areas offering ART
41122;;% of health centers in the 5 targeted provinces (Gitega  Muyinga  Kayanza  Cibitoke and Cankuzo) which have at least 2 health workers trained with the revised clinical IMCI  modules
41122;;Validation and use of IYCF training module by health personnel
41122;;% of children under five managed according to the  iCCM for the management of at least malaria and diarrhea
41122;;% of sick child who are cared for according to the IMCI approach
41122;;% of health centres that manage childhood illness according to national guidelines
41122;;% of hospitals that meet 'Baby Friendly' criteria
41122;;Percentage of health centres having at least 2 service providers trained on neonatal care in target provinces
41122;;Percentage of seropositive mothers who receive PMTCT services according to national norms in at least 90 health facilities
41122;;Availability of a national RMNCH management scorecard
41122;;Ayacucho Regional Government has an organization for coordinating  actively the  reduction of the malnutrition.
41122;;Number of regional governments that implement articulated  inter-sectoral regional and local plans to prevent and reduce chronic malnutrition.
41122;;Regional Government has computers and the Internet to ensure the implementation of management tools (SIAF  SIGA  etc.)
41122;;The SISFOH Programme has been updated and it is running
41122;;Proportion of poor families affiliated with the programme JUNTOS
41122;;Ayacucho Regional Government achieves the implementation of the actions set out in its Articulated Plan.
41122;;Ayacucho Regional Government has ordinances or updated management tools that contribute to improve the nutrition of children.
41122;;Ayacucho Regional Government implements projects related to the PPR-PAN activities. (PIP and others)
41122;;Number of health facilities certified as Mother and Child Friendly
41122;;% of pregnant women who complete iron supplementation.
41122;;% of children below the age of 2 that complete iron or MNP supplementation
41122;;Number of local health networks that implement the new growth and development monitoring standards.
41122;;The Regional Health Bureau (DIRESA) of Ayacucho has a work plan that includes effective interventions to reduce chronic malnutrition
41122;;The budget of the PpR PAN of Ayacucho DIRESA increases or remains the same
41122;;Proportion of health networks that monitor the quality of the services according to CRED current standards.
41122;;Proportion of health facilities that have sufficient supplies of iron supplements to pregnant women and children
41122;;Proportion of health networks that have made periodic training in the application of the CRED standard
41122;;Proportion of population under 5 affiliated to SIS.
41122;;Proportion of children 0-6 months of age in the region who are exclusively breastfed
41122;;Proportion of children under 36 months of age in the region that have completed the CRED controls according to their age.
41122;;Micro Health Networks that provide integral care to children according to the CRED Standard
41122;;Number of health and education promoters that have been trained at least 3 times in ECD
41122;;Number of regions with Budget allocations to early childhood development
41122;;Number of ECD programmes being implemented by the government at national and regional levels
41122;;Number of health facilities that integrate breast feeding friendly spaces.
41122;;Number of districts that implement community surveillance for the care and development of pregnant women and children
41122;;Percentage of health facilities with the micronutrient supplementation for pregnants
41122;;Number of trainers in nutrition and ECD in the sectors of health  education and social development
41122;;Number of operators trained in nutrition and ECD services and programmes
41122;;"Number of health centers that qualify as ""Friendly health centers of the mother and the child"""
41122;;Percentage of health facilities with the micronutrient supplementation for children under three years
41122;;Number of districts that implement centers of promotion and community surveillance for the care of the pregnant woman and the child
41122;;Number of regions carried out massive and targeted communication actions in a systematic way
41122;;Number of community workers trained in care of pregnancy and the newborn.
41122;;Number of DIRESAS that feature and implement communication plans that promote the care of the pregnant woman and the newborn
41122;;Number of districts in targeted areas increase the resources allocated to early child development and nutrition
41122;;Number of regions that have an instance of inter-sectorial articulation
41122;;Number of regions in targeted areas increase the resources allocated to early child development and nutrition
41122;;Percentage of households consuming adequately iodized salt
41122;;Percentage of ever breastfed
41122;;Percentage of exclusive breastfeeding from 0 to 6 months of life
41122;;Percentage of children 6-23 months receiving minimum dietary diversity
41122;;Percentage of children 6-23 months having minimum meal frequency
41122;;Percentage of children 6-23 months receiving MNPs
41122;;Percentage of children age 0-23 months  whose weight was measured in the past month preceding the survey
41122;;Percentage of children age 0-23 months  whose height was measured in the past month preceding the survey
41122;;In target areas (Kukes  Shkodra  Tirana suburbs)  % of young children (aged 0-23 months) not fed according to minimum acceptable diet
41122;;National public health policies updated to explicitly address nutrition issues
41122;;# and type of inter-sectoral coordination and planning mechanisms at the local level promoting food security and good nutrition practices
41122;;equity targets for children are included in the national health strategy
41122;;% use of child growth monitoring charts during mother and child visits to health centres (in areas targeted for introduction of this new tool)
41122;;% of families that have access to quality maternal  neonatal and child health services  including patronage (in target areas)
41122;;enforcement mechanisms are in place to support scaling up of system changes in MCH preventive services based on recently approved MCH regulatory framework
41122;;Percentage of antenatal care (ANC) medical records with evidence of the following activities: 1) syphilis screening  2) HIV screening  3) hepatitis B screening  4) measurement of fundal height curve and 5) immunization with anti-tetanus vaccine.
41122;;Number of local level validated tools adopted at national level as part of the early childhood comprehensive care strategy: 1. Public policy guidelines for rural water and sanitation and risk management associated with drinking water and basic sanitation. 2. mechanisms to remove barriers to access civil registration (CR) for indigenous populations at health care institution. 3. The route to access micronutrients at the departmental level. 4.intercultural guideline for comprehensive care in early
41122;;Percentage of education institutions (EI) in 3 rural municipalities adopting hand washing with soap practices
41122;;Percentage of Child Development Centers (CDI) and education institutions (EI) adopting hand washing with soap practices
41122;;Number of educational agents  leaders who acquire or strengthen knowledge to guide families in integral early childhood care - thirteen key practices.
41122;;BCG and Hepatitis B vaccination coverage in 10 municipalities
41122;;Number of indigenous and Afro-Colombian children  adolescents and women for whom the access to health services  education  nutrition  water and sanitation  protection and prevention of HIV has been improved in the framework of the CCC.
41122;;Level (%) of implementation of the action plan for the WASH cluster (proportion of satisfactory outputs against planned products)
41122;;Number of secretaries of education that design and implement action plans for preparedness  response and recovery from emergencies
41122;;Community Based Nutritional Recovery Guideline (Yes/no)
41122;;Availability of KAP study on caring practices to inform communication strategies
41122;;Availability of a communication strategy and related roll-out plan  including with targets for vulnerable areas  and related education materials to promote ECE
41122;;Availability of a communication strategy and related roll-out plan including with targets for vulnerable areas  to raise awareness on infant and young child feeding (IYCF) practices including breastfeeding
41122;;Availability of a draft national nutrition strategy and related action plan using current data and in compliance with international quality standards
41122;;% of infants 0-5 months exclusively breastfed (Sikka)
41122;;Percentage budget increased on effective nutrition interventionin in supported district
41122;;Percentage reduction of stunting in supported district
41122;;% of sub-districts with at least two BF Counsellors and CF counsellors with kits (Sikka)
41122;;Percentage budget increase of effective Nutrition interventions in 2 selected Districts.
41122;;% of HH with distance to any Midwives or Nurse for ANC and Counselling services within 20 minutes on foot (Sikka)
41122;;% of pregnant women and mothers of infants 0-11 months received at least three BF counselling sessions during ANC and post natal visits in the last 6 months
41122;;National legislation on the international code of marketing of breastmilk substitutes is adopted and monitoring and enforcement mechanism is identified.
41122;;Percentage of the health budget allocated to nutrition-specific interventions in selected districts.
41122;;Guidelines on micronutrient supplementation  for children 6-23 months and pregnant women developed
41122;;Policy framework and implementation guidelines for the Scaling Up Nutrition (SUN) Movement in Indonesia developed
41122;;Legislation on the international code of marketing of breast milk substitutes is adopted and enforced at national level
41122;;% of villages with standard quantity of trained community IYCF peer motivators/counsellors (--> applied in 3 piloted districts in Indonesia: Aceh Timur  Sikka  and Jayawijaya)
41122;;% of pregnant women and mothers of infants 0-11 months received any counselling sessions provided by BF and CF counsellors at IYCF support group meetings+posyandu+polindes+ poskesdes+pustu and puskesmas in the last 6 months
41122;;(a) % of HHs with distance to any Midwives or Nurse for ANC and Counselling services within 20 minutes on foot (--> Applied in 3 Piloted Districts in Indonesia: Aceh Timur  Sikka  and Jayawijaya)
